Processors,Size,Run,Elapsed Time
1,2000000,Run 1,0.004851
1,2000000,Run 2,0.005094
1,2000000,Run 3,0.005129
1,2000000,Run 4,0.005119
1,2000000,Run 5,0.005119
1,2000000,Run 6,0.005071
1,2000000,Run 7,0.005031
1,2000000,Run 8,0.005133
1,2000000,Run 9,0.005079
1,2000000,Run 10,0.005072
1,4000000,Run 1,0.010297
1,4000000,Run 2,0.009934
1,4000000,Run 3,0.010150
1,4000000,Run 4,0.010086
1,4000000,Run 5,0.010189
1,4000000,Run 6,0.010228
1,4000000,Run 7,0.010119
1,4000000,Run 8,0.010058
1,4000000,Run 9,0.010146
1,4000000,Run 10,0.010211
1,8000000,Run 1,0.020256
1,8000000,Run 2,0.020246
1,8000000,Run 3,0.020363
1,8000000,Run 4,0.020083
1,8000000,Run 5,0.020286
1,8000000,Run 6,0.020346
1,8000000,Run 7,0.020270
1,8000000,Run 8,0.020379
1,8000000,Run 9,0.020210
1,8000000,Run 10,0.020020
1,16000000,Run 1,0.040335
1,16000000,Run 2,0.039686
1,16000000,Run 3,0.040809
1,16000000,Run 4,0.040519
1,16000000,Run 5,0.040541
1,16000000,Run 6,0.040318
1,16000000,Run 7,0.040609
1,16000000,Run 8,0.040419
1,16000000,Run 9,0.039577
1,16000000,Run 10,0.039691
2,2000000,Run 1,0.002519
2,2000000,Run 2,0.002517
2,2000000,Run 3,0.003996
2,2000000,Run 4,0.002535
2,2000000,Run 5,0.002587
2,2000000,Run 6,0.002480
2,2000000,Run 7,0.002538
2,2000000,Run 8,0.002535
2,2000000,Run 9,0.002542
2,2000000,Run 10,0.002519
2,4000000,Run 1,0.005136
2,4000000,Run 2,0.005116
2,4000000,Run 3,0.005093
2,4000000,Run 4,0.005023
2,4000000,Run 5,0.005066
2,4000000,Run 6,0.005047
2,4000000,Run 7,0.005079
2,4000000,Run 8,0.005096
2,4000000,Run 9,0.005225
2,4000000,Run 10,0.005163
2,8000000,Run 1,0.010952
2,8000000,Run 2,0.011480
2,8000000,Run 3,0.010519
2,8000000,Run 4,0.014178
2,8000000,Run 5,0.010299
2,8000000,Run 6,0.010208
2,8000000,Run 7,0.010245
2,8000000,Run 8,0.010324
2,8000000,Run 9,0.016712
2,8000000,Run 10,0.010849
2,16000000,Run 1,0.028402
2,16000000,Run 2,0.020301
2,16000000,Run 3,0.020339
2,16000000,Run 4,0.020498
2,16000000,Run 5,0.020278
2,16000000,Run 6,0.020409
2,16000000,Run 7,0.020266
2,16000000,Run 8,0.020284
2,16000000,Run 9,0.020425
2,16000000,Run 10,0.020386
4,2000000,Run 1,0.001292
4,2000000,Run 2,0.001436
4,2000000,Run 3,0.002435
4,2000000,Run 4,0.001285
4,2000000,Run 5,0.001662
4,2000000,Run 6,0.001271
4,2000000,Run 7,0.002489
4,2000000,Run 8,0.001323
4,2000000,Run 9,0.001712
4,2000000,Run 10,0.002356
4,4000000,Run 1,0.002592
4,4000000,Run 2,0.002647
4,4000000,Run 3,0.002635
4,4000000,Run 4,0.002576
4,4000000,Run 5,0.004583
4,4000000,Run 6,0.004461
4,4000000,Run 7,0.002587
4,4000000,Run 8,0.002545
4,4000000,Run 9,0.004530
4,4000000,Run 10,0.002602
4,8000000,Run 1,0.009261
4,8000000,Run 2,0.009065
4,8000000,Run 3,0.005136
4,8000000,Run 4,0.005128
4,8000000,Run 5,0.005132
4,8000000,Run 6,0.009023
4,8000000,Run 7,0.005221
4,8000000,Run 8,0.005125
4,8000000,Run 9,0.005171
4,8000000,Run 10,0.005114
4,16000000,Run 1,0.011657
4,16000000,Run 2,0.020238
4,16000000,Run 3,0.013067
4,16000000,Run 4,0.010365
4,16000000,Run 5,0.015645
4,16000000,Run 6,0.010242
4,16000000,Run 7,0.010357
4,16000000,Run 8,0.010281
4,16000000,Run 9,0.010249
4,16000000,Run 10,0.010379
8,2000000,Run 1,0.001252
8,2000000,Run 2,0.001256
8,2000000,Run 3,0.001139
8,2000000,Run 4,0.001350
8,2000000,Run 5,0.001146
8,2000000,Run 6,0.001278
8,2000000,Run 7,0.001167
8,2000000,Run 8,0.001171
8,2000000,Run 9,0.001137
8,2000000,Run 10,0.001177
8,4000000,Run 1,0.002292
8,4000000,Run 2,0.002290
8,4000000,Run 3,0.002289
8,4000000,Run 4,0.002447
8,4000000,Run 5,0.002290
8,4000000,Run 6,0.002255
8,4000000,Run 7,0.002284
8,4000000,Run 8,0.002298
8,4000000,Run 9,0.002310
8,4000000,Run 10,0.002296
8,8000000,Run 1,0.004640
8,8000000,Run 2,0.004509
8,8000000,Run 3,0.004543
8,8000000,Run 4,0.004589
8,8000000,Run 5,0.004890
8,8000000,Run 6,0.004503
8,8000000,Run 7,0.004546
8,8000000,Run 8,0.004663
8,8000000,Run 9,0.004986
8,8000000,Run 10,0.004613
8,16000000,Run 1,0.008986
8,16000000,Run 2,0.009031
8,16000000,Run 3,0.009037
8,16000000,Run 4,0.009887
8,16000000,Run 5,0.009062
8,16000000,Run 6,0.010478
8,16000000,Run 7,0.010413
8,16000000,Run 8,0.009036
8,16000000,Run 9,0.009738
8,16000000,Run 10,0.009067
