Processors,Rows,Columns,Elapsed Time
1,256,256,4.523900e-04
1,512,512,8.204190e-04
1,1024,1024,3.248878e-03
2,256,256,2.902600e-04
2,512,512,4.139250e-04
2,1024,1024,1.680817e-03
4,256,256,1.438050e-04
4,512,512,2.487640e-04
4,1024,1024,8.864900e-04
